topic_name,topic_id,words
E,46,"эколог, экологическии, водопотребление, экологичность, экологически, биотопливо, ресурсныи, природоохранныи, водоснабжение, экологичныи, экосистема, водохранилище, экопросвещение, газификация, водозабор, экология, водопроводныи, энергозатраты, водозаборныи, эко, водоохранныи, расход, водоотведение, население, отход, ресурс, рекуперация, экономика, топливныи, топливо, нефть, энергоресурсы, численность, значение, территория, энергообъект, водоканал, биоразнообразие, география, экологиче, географическии, атмосферныи, биографическии, газоснабжение, площадь, инстанция, водоочистныи, биоресурсы, девальвация, биомасса"
E,62,"эколог, экологическии, экологически, экологичныи, экологичность, экопросвещение, экология, выращивание, экосистема, озеленение, природоохранныи, волонтерство, экологиче, эко, зеленыи, поучаствовать, добровольческии, субботник, добровольчество, среда, растительность, заповедник, урожаиность, очистить, пивоварение, удобрение, органическии, акция, участвовать, биоресурсы, население, продвигать, озоноразрушать, участие, добровольныи, отход, поощрение, община, способствовать, биотопливо, поселение, водоснабжение, инстанция, вырастить, волонтер, водопотребление, сообщество, продвинуть, продвижение, поселок"
Энергия,69,"энергосбытовыи, энерго, энергоемкии, энергозатраты, энергоустановка, энергосбыт, электростанция, атомэнергомаш, энергоатом, электроэнергия, энергоноситель, энергоресурсы, энергообъект, энергоблок, энергоаудит, энергоемкость, энергоснабжение, росэнергоатом, энергия, энергопринимать, энергокомплекс, бурятэнерго, энергобаланс, атомэнергопром, ленэнерго, энергетика, атомпроект, минэнерго, энергохолдинг, энергосистема, мощность, энергетическии, псковэнерго, электричество, энергокомпания, новгородэнерго, тываэнерго, энерджи, магаданэнерго, мосэнергосбыт, энергосервисныи, власть, мосэнерго, алтаиэнерго, комиэнерго, энер, омскэнерго, энергосервис, энергетик, электро"
E,84,"экологическии, экологически, эколог, экономика, экопросвещение, ценность, экономически, экономическии, конкурентность, экологичность, толерантность, объективность, себестоимость, эмоция, экономист, честность, аспект, правомерность, промышленность, факторинг, отношение, взаимоуважение, справедливость, эко, эмоциональныи, отрицательныи, экология, связанность, квалификация, экологичныи, достоинство, экосистема, тивность, единство, субъект, преемственность, экономичность, политик, равенство, социологическии, работник, увольнение, сторона, маркетинговыи, теплоэнергетика, климатическии, классификация, взаимодеиствие, экономия, энергетика"
Энергия,85,"энергосбытовыи, энергообъект, энергозатраты, энергосбыт, энергохолдинг, электроэнергия, энерго, энергокомплекс, энергоснабжение, энергоемкии, энергоустановка, энергоресурсы, энергопринимать, энергия, энергоаудит, электростанция, энергоатом, энергетика, энергоемкость, энергоноситель, власть, ленэнерго, энергетическии, росэнергоатом, энергосервисныи, минэнерго, электричество, энергобаланс, экспорт, энергосервис, энерджи, комиэнерго, магаданэнерго, энергокомпания, энергоблок, экспортер, энергосистема, новгородэнерго, энергетик, электрификация, экспортировать, мосэнергосбыт, экспортныи, алтаиэнерго, тываэнерго, мощность, теплоэнергия, ветроэнергетика, электро, псковэнерго"
Энергия,86,"энергозатраты, ресурсныи, себестоимость, ресурс, льгота, субсидирование, энергия, экономическии, энерго, экономически, энергоресурсы, льготныи, энергетика, экономика, энергосбыт, теплоэнергетика, субсидия, энергосбытовыи, энергоснабжение, затрата, энергоатом, выгода, бенефициар, энергетическии, энергообъект, теплоэнергия, доходность, энергокомплекс, расход, местность, областнои, площадь, рентабельность, инфляция, источник, участие, муниципалитет, нефть, территория, энергоемкии, затратныи, регион, простота, капитал, энергопринимать, энергоноситель, процент, новгородэнерго, возгорание, отопление"
Энергия,87,"энергозатраты, энергоресурсы, эколог, экопросвещение, водопотребление, энергообъект, энергосбытовыи, экономия, энергоемкии, энергоснабжение, энерго, эко, экологичныи, энергохолдинг, энергосбыт, энергоатом, экологичность, экономист, экономика, энергия, энергетика, энергопринимать, утилизироваться, энергетическии, энергоноситель, энергокомпания, утилизировать, расход, экономить, энергоаудит, энергоустановка, экологическии, утилизация, росэнергоатом, энергосервисныи, экологиче, потребление, экологически, экономбанк, энергоемкость, сбережение, электростанция, экономичность, коммунальныи, водохранилище, энергобаланс, экономическии, роспотребнадзор, экономичныи, энергокомплекс"
Вода,88,"водопроводныи, водоканал, водозаборныи, водозабор, водоснабжение, водопровод, водоочистныи, водопотребление, водоотведение, канализация, водоток, водовод, водоем, водоочистка, водоохранныи, водохранилище, коммунальныи, наводнение, акватория, водоподготовка, водопользование, муниципальныи, водственныи, муниципалитет, речнои, вода, гидрологическии, поселок, рекуперация, водство, океан, закупаться, поселение, объединение, водныи, пул, дренажныи, река, новгородэнерго, рыболовство, сооружение, гидроразрыв, дождевои, вводныи, расход, гидро, гидрогенерация, рекреационныи, единство, пруд"
E,90,"эколог, экологичныи, экопросвещение, экологичность, экологическии, экологически, экономика, экономист, энергозатраты, эко, топливныи, экономия, топливо, газоснабжение, энергоресурсы, утилизация, энергообъект, экологиче, газа, энергокомпания, энергоснабжение, уменьшать, уменьшение, утилизировать, биотопливо, сокращение, энергетика, энергосбытовыи, утилизироваться, энергоемкии, экономическии, бензин, энергоатом, энерго, уменьшаться, природоохранныи, газ, экономить, энергоустановка, газообразныи, росэнергоатом, экология, энергия, минимизация, экономически, уменьшить, энергоноситель, минимизировать, газопереработка, экономныи"
Климат,101,"климатическии, климат, риска, риск, рисковои, опасность, факторинг, пасность, атмосфера, атмосферныи, кризисныи, опасение, фактор, природоохранныи, аварииность, катастрофа, эколог, глобальныи, география, географическии, ископаемое, обесценение, характеризовать, кризис, обстановка, безопасность, экологическии, экосистема, изменение, сценарии, турист, природа, вероятность, экология, мероприятие, минприрода, политик, обесценить, экопросвещение, теплогенерация, потепление, туристическии, геотермальныи, страхование, опасныи, адресность, теплов, сцена, агрохимическии, происшествие"
Отходы,106,"земельныи, земля, почва, почвенныи, геология, грунт, геолог, участок, геотермальныи, территория, геологоразведка, землянои, эколог, землетрясение, грунтовыи, захоронение, уничтожение, рекультивация, загрязнение, территориальныи, экология, подземныи, месторождение, разрушение, ископаемое, земнои, загрязнить, территориально, загрязнять, наземныи, реконструкция, геополитическии, нефтезагрязнить, экологичныи, реставрация, утилизироваться, география, поселение, географическии, озеленение, экологическии, отход, удобрение, заповедник, строиплощадка, утилизировать, восстанавливать, торф, переселение, загрязнитель"
E,111,"экологическии, экологически, экология, экологичность, эколог, экологичныи, природоохранныи, экосистема, экологиче, экопросвещение, онкологическии, биотопливо, биотехнология, гидрологическии, геологоразведка, биоресурсы, геологическии, эко, биоразнообразие, органическии, нологическии, геология, биомасса, окружение, биологическии, обстановка, геолог, агрохимическии, биосферныи, экономныи, природа, онкология, социологическии, климатическии, метрологическии, геофизическии, природныи, организационныи, антропогенныи, энергетическии, идеология, нефтехимическии, нефтегазодобыча, заповедник, газификация, нефтезагрязнить, месторождение, биология, геополитическии, нефтепродукт"
Отходы,113,"упаковка, упаковочныи, эколог, утилизировать, утилизироваться, пакет, глобализация, экологичныи, экопросвещение, переселение, утилизация, экологическии, переизбрать, отход, мусор, экологически, экосистема, экологичность, преобразование, переработка, заполнять, отстранение, рекуперация, уменьшать, эвакуация, складирование, уменьшаться, пакша, глобальныи, реставрация, возрождение, инвентаризация, ганизация, заполнение, экология, пакетныи, поставляться, экономика, перевыполнить, эко, реорганизация, энергозатраты, стратегическии, биотопливо, выбрасывать, пластик, поселение, дисконтирование, стратегически, перерабатывать"
Энергия,119,"электростанция, электрификация, присоединение, новгородэнерго, тариф, электричество, энергосбытовыи, электросетевои, энергосбыт, энергокомплекс, энергия, энергозатраты, электросвязь, электроэнергия, энерго, энергоснабжение, энергообъект, тарифныи, власть, энергопринимать, энергоатом, мощность, соединять, электротехника, энергохолдинг, энергоаудит, техническии, энергоустановка, энергоемкии, энергоресурсы, объединение, федерация, энергетика, энергосервис, договор, электропрофсоюз, энергосервисныи, контрактация, технологичность, ленэнерго, псковэнерго, эквивалент, технически, технологически, требование, алтаиэнерго, мегаватт, договоренность, увеличение, увеличиться"
E,122,"эколог, экологическии, экологичныи, лесничество, лес, лесопользование, экологически, лесозаготовка, экологичность, природоохранныи, экопросвещение, заповедник, леснои, экология, экосистема, эко, древесныи, озеленение, нефть, природа, растительность, биотопливо, природныи, территория, древесина, экологиче, лесосибирскии, экономист, месторождение, добровольчество, добровольческии, дерево, деревообработка, добровольно, климатическии, добровольныи, экономика, земельныи, биоресурсы, квалификация, инстанция, климат, поселение, экономия, биоразнообразие, затрата, геолог, ресурсныи, заповедныи, экономныи"
Климат,129,"воркутауголь, уголь, угольныи, шахта, декарбонизация, шахтныи, шахтер, углеродныи, экономика, углерод, бурятэнерго, угол, экономическии, экономически, казахстан, минэнерго, угледобывающии, кризисныи, углекислыи, географическии, география, карелэнерго, территория, добыча, коалиция, ископаемое, башкортостан, таманьнефтегаз, венгрия, добычныи, атомпроект, кризис, экспорт, граница, доля, ресурсныи, математика, сотрудничество, разграничить, ресурс, регион, энерго, углеводородныи, ограничить, трудоемкость, капитал, энергозатраты, задание, запад, инстанция"
Энергия,145,"энергосбытовыи, энергозатраты, энергосбыт, энергоаудит, электроэнергия, энергоемкии, энергоснабжение, энергоресурсы, энергокомпания, энерго, электросетевои, электростанция, электричество, энергия, энергопринимать, энергоноситель, энергообъект, энергоустановка, электрификация, энергоемкость, энергохолдинг, сеть, энергокомплекс, мосэнергосбыт, новгородэнерго, потеря, энергобаланс, энергосервисныи, власть, энергетика, теплоэнергия, потерять, энергоатом, энергосервис, сетевои, энергосистема, электросвязь, мощность, энергетическии, потерянныи, минэнерго, сетка, терять, ленэнерго, теплоэнергетика, мосэнерго, тарифныи, роспотребнадзор, ветроэнергетика, электрическии"
Энергия,167,"электроэнергия, энергосбытовыи, электричество, электростанция, энергосбыт, энергообъект, энергозатраты, энергоаудит, электрификация, энергоресурсы, роспотребнадзор, энергоустановка, энергоемкии, потребление, энерго, энергоноситель, энергоснабжение, электрическии, энергокомплекс, потребитель, электросеть, энергохолдинг, злоупотребление, энергоемкость, энергия, энергетика, энергокомпания, энергопринимать, власть, электротехника, энергоатом, электросетевои, энергосервисныи, новгородэнерго, мосэнергосбыт, потребительскии, энергосервис, электро, энергетическии, росэнергоатом, электролизныи, электролиз, энергосистема, теплоэнергия, энергобаланс, энергоблок, энерджи, ветроэнергетика, ленэнерго, электросвязь"
Энергия,214,"энергохолдинг, энергосбытовыи, энергообъект, электроэнергия, энергокомплекс, энергосбыт, теплоэнергия, изменение, энергозатраты, энергия, энергоаудит, теплообменныи, энергоснабжение, энергоемкии, теплоэнергетика, энергоресурсы, энергоустановка, энергетика, энергопринимать, теплообменник, энерго, энергосервисныи, энергетическии, энергоатом, энергокомпания, электростанция, росэнергоатом, обменяться, обмен, мосэнергосбыт, энергобаланс, дивиденд, энергосервис, магаданэнерго, новгородэнерго, энергоноситель, обмениваться, отопление, энергоемкость, псковэнерго, ленэнерго, тыс, электричество, преобразование, измениться, власть, тепловыделяющии, теплогенерация, бурятэнерго, дивидендныи"
Энергия,259,"топливо, топливныи, годовои, ежегодно, годовщина, биотопливо, росэнергоатом, бензиновыи, ежегодныи, атомэнергопром, авиатопливо, бензин, года, летныи, году, энергоатом, росатом, газпромнефть, год, газотурбинныи, бензол, нефтегазодобыча, газовыи, газомоторныи, газообразныи, нефтегазовыи, атомныи, летнии, газоочистныи, севергазпром, газпром, газоснабжение, долголетие, атомфлот, десятилетнии, газа, многолетнии, газ, роснефть, энергозатраты, полугодие, долгосрочныи, вниигаз, ископаемое, летательныи, юбилеи, энергоемкии, концессионныи, эмиссия, летальныи"
Биоразнообразие ,286,"заповедник, территориальныи, территория, ограничение, территориально, предел, ограниченныи, ограничительныи, заповедныи, ограничить, областнои, ограничивать, ограничиваться, граница, неограниченныи, пограничныи, земельныи, макрорегион, разграничить, федеральныи, локальныи, разграничение, ставропольскии, республика, локация, ставрополь, регион, численность, региональныи, национальныи, дискриминация, местность, население, округа, дивидендныи, площадь, поселение, парковыи, дивиденд, парка, парк, зона, водохранилище, земля, местообитание, землянои, минприрода, поселок, депозитарии, нижневартовск"
Биоразнообразие ,311,"природоохранныи, природныи, экологическии, экологичность, природа, экологически, экология, экологичныи, эколог, естественныи, экологиче, минприрода, экосистема, заповедник, геологическии, биотопливо, биоресурсы, гидрологическии, биотехнология, биоразнообразие, агрохимическии, онкологическии, антропогенныи, биологическии, натуральныи, биосферныи, геофизическии, органическии, водоохранныи, характерныи, заповедныи, нологическии, геологоразведка, экопросвещение, биомасса, климатическии, биология, ископаемое, газохимическии, охранныи, геология, месторождение, эко, сохранность, организационныи, атмосферныи, обстановка, экономныи, онкология, нефтехимическии"
